"","Run","Donor","tissue"
"SRR15852393","SRR15852393",102548,"breast_tumor"
"SRR15852394","SRR15852394",104338,"breast_tumor"
"SRR15852395","SRR15852395",105094,"breast_tumor"
"SRR15852396","SRR15852396",109745,"breast_tumor"
"SRR15852397","SRR15852397",1906415,"breast_tumor"
"SRR15852398","SRR15852398",1912627,"breast_tumor"
"SRR15852399","SRR15852399",1924346,"breast_tumor"
"SRR15852400","SRR15852400",1926760,"breast_tumor"
"SRR15852401","SRR15852401",1927842,"breast_tumor"
"SRR15852402","SRR15852402",1933414,"breast_tumor"
"SRR15852423","SRR15852423",102548,"normal_breast_tissue"
"SRR15852424","SRR15852424",104338,"normal_breast_tissue"
"SRR15852425","SRR15852425",105094,"normal_breast_tissue"
"SRR15852426","SRR15852426",109745,"normal_breast_tissue"
"SRR15852427","SRR15852427",1906415,"normal_breast_tissue"
"SRR15852428","SRR15852428",1912627,"normal_breast_tissue"
"SRR15852429","SRR15852429",1924346,"normal_breast_tissue"
"SRR15852430","SRR15852430",1926760,"normal_breast_tissue"
"SRR15852431","SRR15852431",1927842,"normal_breast_tissue"
"SRR15852432","SRR15852432",1933414,"normal_breast_tissue"
